year,type,entrate_tributarie,entrate_extra_tributarie,trasferimenti_correnti,entrate_conto_capitale,altre_entrate,spese_correnti,spese_conto_capitale,spese_conto_terzi,altre_spese
2016,actual,1180,1020,360,380,520,2280,820,480,160
2017,actual,1220,1080,380,410,550,2370,900,500,165
2018,actual,1270,1150,400,440,580,2460,980,520,170
2019,actual,1330,1230,420,470,610,2560,1060,540,175
2020,actual,1250,1050,450,350,560,2500,850,480,180
2021,actual,1320,1200,470,450,640,2620,1200,530,185
2022,actual,1400,1330,490,520,720,2790,1550,580,195
2023,actual,1471.9,1452.9,518.7,574.27,834.06,2976.96,1968.05,623.67,211.65
2024,actual,1535.37,1685.8,619.63,413.15,706.76,3123.96,2112.45,357.16,348.28
2025,forecast,1500.85,1635.38,708.74,3582.78,1560.97,3711.02,3874.97,375.24,1247.67
